[DEBUG] 2019-06-17 03:55:34 [main] DisambarkationActionTest:60 - Plane [id=2, capacity=44, passagers=[]]
[DEBUG] 2019-06-17 03:55:34 [main] DisambarkationActionTest:60 - Plane [id=3, capacity=51, passagers=[]]
[DEBUG] 2019-06-17 03:55:34 [main] DisambarkationActionTest:60 - Plane [id=4, capacity=7, passagers=[]]
[DEBUG] 2019-06-17 03:55:34 [main] DisambarkationActionTest:60 - Plane [id=5, capacity=79, passagers=[]]
[DEBUG] 2019-06-17 03:55:34 [main] DisambarkationActionTest:60 - Plane [id=6, capacity=39, passagers=[]]
[DEBUG] 2019-06-17 03:55:34 [main] DisambarkationActionTest:60 - Plane [id=7, capacity=96, passagers=[]]
[DEBUG] 2019-06-17 03:55:34 [main] DisambarkationActionTest:60 - Plane [id=8, capacity=90, passagers=[]]
[DEBUG] 2019-06-17 03:55:34 [main] DisambarkationActionTest:60 - Plane [id=9, capacity=78, passagers=[]]
[DEBUG] 2019-06-17 03:55:34 [main] DisambarkationActionTest:60 - Plane [id=10, capacity=61, passagers=[]]
[DEBUG] 2019-06-17 03:55:34 [main] DisambarkationActionTest:73 - Size of passagers before: 100
[INFO ] 2019-06-17 03:55:34 [Thread-0] Ladder:39 - Ladder 17 has started.
[INFO ] 2019-06-17 03:55:34 [Thread-1] Terminal:43 - Terminal 1 has started.
[DEBUG] 2019-06-17 03:55:34 [main] DisembarkationAction:70 - Passager [id=3, terminalId=1, passagerTarget=TO_DISAMBARK] added to terminal 1
[DEBUG] 2019-06-17 03:55:34 [main] DisembarkationAction:70 - Passager [id=4, terminalId=1, passagerTarget=TO_DISAMBARK] added to terminal 1
[DEBUG] 2019-06-17 03:55:34 [main] DisembarkationAction:70 - Passager [id=6, terminalId=1, passagerTarget=TO_DISAMBARK] added to terminal 1
[DEBUG] 2019-06-17 03:55:34 [main] DisembarkationAction:70 - Passager [id=7, terminalId=1, passagerTarget=TO_DISAMBARK] added to terminal 1
[DEBUG] 2019-06-17 03:55:34 [main] DisembarkationAction:70 - Passager [id=13, terminalId=1, passagerTarget=TO_DISAMBARK] added to terminal 1
[INFO ] 2019-06-17 03:55:34 [Thread-0] Ladder:68 - No plane to perfome. Starting to find for one.
[DEBUG] 2019-06-17 03:55:34 [main] DisembarkationAction:70 - Passager [id=14, terminalId=1, passagerTarget=TO_DISAMBARK] added to terminal 1
[INFO ] 2019-06-17 03:55:34 [Thread-0] Ladder:74 - Ladder 17 found the plane.
[INFO ] 2019-06-17 03:55:34 [Thread-1] Terminal:49 - Terminal 1 has started disembarkation,on ladder 17.
[DEBUG] 2019-06-17 03:55:34 [main] DisembarkationAction:70 - Passager [id=27, terminalId=1, passagerTarget=TO_DISAMBARK] added to terminal 1
[INFO ] 2019-06-17 03:55:34 [Thread-0] Ladder:44 - Ladder17 has a plane to performe actions.
[INFO ] 2019-06-17 03:55:34 [Thread-0] Ladder:48 - Ladder 17 has started disembarkation on plane 1
[DEBUG] 2019-06-17 03:55:34 [main] DisembarkationAction:70 - Passager [id=29, terminalId=1, passagerTarget=TO_DISAMBARK] added to terminal 1
[DEBUG] 2019-06-17 03:55:34 [main] DisembarkationAction:70 - Passager [id=31, terminalId=1, passagerTarget=TO_DISAMBARK] added to terminal 1
[DEBUG] 2019-06-17 03:55:34 [main] DisembarkationAction:70 - Passager [id=37, terminalId=1, passagerTarget=TO_DISAMBARK] added to terminal 1
[DEBUG] 2019-06-17 03:55:34 [main] DisembarkationAction:70 - Passager [id=39, terminalId=1, passagerTarget=TO_DISAMBARK] added to terminal 1
[DEBUG] 2019-06-17 03:55:34 [main] DisembarkationAction:70 - Passager [id=45, terminalId=1, passagerTarget=TO_DISAMBARK] added to terminal 1
[DEBUG] 2019-06-17 03:55:34 [main] DisembarkationAction:70 - Passager [id=47, terminalId=1, passagerTarget=TO_DISAMBARK] added to terminal 1
[DEBUG] 2019-06-17 03:55:34 [main] DisembarkationAction:70 - Passager [id=48, terminalId=1, passagerTarget=TO_DISAMBARK] added to terminal 1
[DEBUG] 2019-06-17 03:55:34 [main] DisembarkationAction:70 - Passager [id=51, terminalId=1, passagerTarget=TO_DISAMBARK] added to terminal 1
[DEBUG] 2019-06-17 03:55:34 [main] DisembarkationAction:70 - Passager [id=58, terminalId=1, passagerTarget=TO_DISAMBARK] added to terminal 1
[DEBUG] 2019-06-17 03:55:34 [main] DisembarkationAction:70 - Passager [id=63, terminalId=1, passagerTarget=TO_DISAMBARK] added to terminal 1
[DEBUG] 2019-06-17 03:55:34 [main] DisembarkationAction:70 - Passager [id=64, terminalId=1, passagerTarget=TO_DISAMBARK] added to terminal 1
[DEBUG] 2019-06-17 03:55:34 [main] DisembarkationAction:70 - Passager [id=65, terminalId=1, passagerTarget=TO_DISAMBARK] added to terminal 1
[DEBUG] 2019-06-17 03:55:34 [main] DisembarkationAction:70 - Passager [id=66, terminalId=1, passagerTarget=TO_DISAMBARK] added to terminal 1
[DEBUG] 2019-06-17 03:55:34 [main] DisembarkationAction:70 - Passager [id=71, terminalId=1, passagerTarget=TO_DISAMBARK] added to terminal 1
[DEBUG] 2019-06-17 03:55:34 [main] DisembarkationAction:70 - Passager [id=73, terminalId=1, passagerTarget=TO_DISAMBARK] added to terminal 1
[DEBUG] 2019-06-17 03:55:34 [main] DisembarkationAction:70 - Passager [id=81, terminalId=1, passagerTarget=TO_DISAMBARK] added to terminal 1
[DEBUG] 2019-06-17 03:55:34 [main] DisembarkationAction:70 - Passager [id=83, terminalId=1, passagerTarget=TO_DISAMBARK] added to terminal 1
[DEBUG] 2019-06-17 03:55:34 [main] DisembarkationAction:70 - Passager [id=92, terminalId=1, passagerTarget=TO_DISAMBARK] added to terminal 1
[DEBUG] 2019-06-17 03:55:34 [main] DisembarkationAction:70 - Passager [id=95, terminalId=1, passagerTarget=TO_DISAMBARK] added to terminal 1
[DEBUG] 2019-06-17 03:55:34 [main] DisembarkationAction:74 - 26 passagers were added to terminal 1
[DEBUG] 2019-06-17 03:55:34 [main] DisambarkationActionTest:76 - Size of passagers after: 74
[DEBUG] 2019-06-17 03:55:34 [Thread-1] DisembarkationAction:43 - Terminal size: 26
[DEBUG] 2019-06-17 03:55:34 [Thread-1] DisembarkationAction:47 - Passager [id=3, terminalId=1, passagerTarget=TO_DISAMBARK]has added to ladder 17
[DEBUG] 2019-06-17 03:55:34 [main] DisambarkationActionTest:73 - Size of passagers before: 74
[DEBUG] 2019-06-17 03:55:34 [Thread-1] DisembarkationAction:47 - Passager [id=4, terminalId=1, passagerTarget=TO_DISAMBARK]has added to ladder 17
[INFO ] 2019-06-17 03:55:34 [Thread-3] Terminal:43 - Terminal 2 has started.
[INFO ] 2019-06-17 03:55:34 [Thread-2] Ladder:39 - Ladder 19 has started.
[DEBUG] 2019-06-17 03:55:34 [Thread-1] DisembarkationAction:47 - Passager [id=6, terminalId=1, passagerTarget=TO_DISAMBARK]has added to ladder 17
[INFO ] 2019-06-17 03:55:34 [Thread-2] Ladder:68 - No plane to perfome. Starting to find for one.
[DEBUG] 2019-06-17 03:55:34 [Thread-1] DisembarkationAction:47 - Passager [id=7, terminalId=1, passagerTarget=TO_DISAMBARK]has added to ladder 17
[INFO ] 2019-06-17 03:55:34 [Thread-2] Ladder:74 - Ladder 19 found the plane.
[DEBUG] 2019-06-17 03:55:34 [Thread-1] DisembarkationAction:47 - Passager [id=13, terminalId=1, passagerTarget=TO_DISAMBARK]has added to ladder 17
[INFO ] 2019-06-17 03:55:34 [Thread-2] Ladder:44 - Ladder19 has a plane to performe actions.
